 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
10011001,1,217,217,217,217,217,217,217,217,217,31,217,217,217,217,217,217,217,217,217,217,31,217,217,217,217,217,217,217,217,217,31,217,31,217,217,217,217,217,217,217,217,217,31,217,217,7,217,217,217,217,217,31,217,217,217,217,217,217,217,217,217,31,217,217,217,31,217,217,217,217,217,31,217,217,217,217,217,217,217,217,217,217,217,217,217,217,31,217,217,217,217,7,31,217,217,217,217,217,31,217,217,217,217,217,31,217,217,217,217,217,217,217,217,7,217,217,217,31,217,217,217,217,217,31,217,217,217,217,217,217,217,217,31,217,217,217,217,217,217,217,217,217,31,31,217,217,217,217,217,217,7,217,217,31,217,217,217,217,217,217,217,217,217,31,217,217,217,217,217,217,217,217,217,31,217,217,31,217,217,217,217,217,217,217,7,217,31,217,217,217,217,217,217,217,217,217,217,217,31,217,217,217,7,217,31,217,217,217,217,31,217,217,217,217,217,31,217,217,217,217,217,217,217,217,217,217,217,217,7,31,217,217,217,217,217,31,217,217,217,217,217,217,31,217,217,217,217,217,31,217,217,217,217,217,217
10011010,1,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,3,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,3,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,3,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
10011011,1,126,126,63,126,63,63,126,63,126,126,63,126,63,63,126,126,63,63,126,63,126,126,63,126,63,63,126,63,126,126,63,126,63,63,126,63,126,126,63,126,63,63,126,63,126,126,63,63,126,126,63,126,63,63,126,63,126,126,63,126,63,63,126,63,126,126,63,126,63,63,126,63,126,126,63,126,63,63,126,126,63,63,126,63,2,126,63,126,63,63,126,63,126,126,63,126,63,63,126,63,126,126,63,126,63,63,126,63,126,126,63,63,126,126,63,126,63,63,126,63,126,126,63,126,63,63,126,126,63,63,126,63,126,126,63,126,63,63,126,63,126,126,63,63,126,126,63,126,63,63,126,63,126,126,63,126,63,63,126,63,126,126,63,126,63,63,126,63,126,2,63,126,63,63,126,126,63,63,126,63,126,126,63,126,63,63,126,63,126,126,63,126,63,63,126,63,126,126,63,126,63,63,126,63,126,126,63,63,126,126,63,126,63,63,126,63,126,126,63,126,63,63,126,63,126,126,63,126,63,63,126,63,126,126,63,126,63,63,126,126,63,63,126,63,126,126,63,126,63,63,126,63,126,126,1
10011100,1,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
10011101,1,42,42,42,42,42,42,21,21,42,42,42,6,42,42,21,42,21,42,42,6,42,7,42,6,21,42,42,42,42,21,42,42,42,42,21,3,42,42,42,6,42,42,21,7,42,42,42,6,42,21,42,42,21,42,42,42,42,7,42,6,21,42,42,42,21,42,42,42,6,21,42,42,3,42,42,42,42,7,42,21,6,42,42,42,42,42,21,7,42,42,42,42,6,42,21,42,6,7,42,42,21,42,42,42,42,21,42,42,3,42,42,42,42,42,21,7,6,42,42,42,6,42,21,21,42,42,42,42,42,42,21,21,42,6,42,42,42,6,7,21,42,42,42,42,42,3,42,42,21,42,42,42,42,21,42,42,7,6,42,21,42,6,42,42,42,42,7,21,42,42,42,42,42,6,21,42,7,42,42,42,42,3,42,42,21,6,42,42,42,21,42,42,42,21,6,42,7,42,42,42,42,21,42,42,21,42,6,42,42,42,7,21,42,42,6,42,42,42,3,21,42,42,42,42,21,42,42,42,42,21,6,42,7,42,6,42,42,21,42,21,42,42,6,42,42,42,21,21,42,42,42,42,42,42,1
10011110,1,124,124,62,124,31,62,124,62,124,124,31,124,62,31,124,124,62,31,124,62,124,124,31,124,31,62,124,31,124,124,62,31,124,124,62,124,31,62,124,62,124,124,31,124,62,31,124,124,62,31,4,62,124,124,31,124,31,62,124,31,124,124,62,124,31,62,124,31,124,124,62,124,62,31,124,62,124,124,31,62,124,124,31,124,2,31,124,31,124,124,62,124,31,62,124,124,31,62,124,31,124,4,62,124,62,31,124,62,124,124,31,62,124,124,31,124,62,31,124,31,124,124,62,124,31,62,124,124,62,31,124,62,124,124,31,124,31,62,124,31,124,124,62,31,124,124,62,124,31,62,124,62,4,124,31,124,62,31,124,124,62,31,124,62,124,124,31,124,31,2,124,31,124,124,62,31,124,124,62,124,31,62,124,62,124,124,31,124,62,31,124,62,124,124,31,124,62,31,124,31,124,124,62,4,31,62,124,124,31,62,124,31,124,124,62,124,62,31,124,62,124,124,31,62,124,124,31,124,62,31,124,31,124,124,62,124,31,62,124,124,31,62,124,31,124,124,62,124,62,31,124,62,124,124,1
10011111,1,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
10100000,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,15,30,30,30,30,15,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,15,30,30,30,30,30,30,30,30,30,15,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,15,30,30,30,30,30,30,30,30,30,30,15,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,15,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,15,30,15,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,15,30,30,30,30,30,15,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,15,30,30,30,30,30,30,30,30,30,30,30,30,30,15,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,15,30,30,30,30,30,30,30,30,30,15,30,30,30,30,30,30,30,30,30,30
10100001,1,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,1
10100010,1,12,12,12,6,12,12,12,6,12,12,12,6,12,12,12,6,4,12,12,6,12,12,12,6,12,12,12,6,12,12,12,6,12,4,12,3,12,12,12,6,12,12,12,6,12,12,12,6,12,12,4,6,12,12,12,6,12,12,12,6,12,12,12,12,6,12,12,4,6,12,12,12,3,12,12,12,6,12,12,12,6,12,12,12,2,12,12,12,6,12,12,12,6,12,12,12,6,12,12,12,6,4,12,12,6,12,12,12,3,12,12,12,6,12,12,12,6,12,4,12,6,12,12,12,6,12,12,12,12,6,12,12,12,6,12,4,12,6,12,12,12,6,12,12,12,3,12,12,12,6,12,12,4,6,12,12,12,6,12,12,12,6,12,12,12,6,12,12,12,2,12,12,12,6,12,12,12,6,12,12,12,3,12,12,12,6,4,12,12,6,12,12,12,12,6,12,12,12,6,12,12,12,6,4,12,12,6,12,12,12,6,12,12,12,6,12,12,12,3,12,4,12,6,12,12,12,6,12,12,12,6,12,12,12,6,12,12,4,6,12,12,12,6,12,12,12,6,12,12,12,6,12,12,12,1
10100011,1,217,217,217,217,217,217,217,217,31,217,217,217,217,217,217,217,217,31,217,217,217,217,217,217,217,217,31,217,217,217,217,217,217,217,217,217,31,217,217,217,217,217,217,31,217,7,217,217,217,217,217,217,217,217,31,217,217,217,217,217,217,31,217,217,217,31,217,217,217,217,217,217,217,217,31,217,217,217,217,31,217,217,217,217,217,217,217,217,31,217,217,7,217,217,217,217,217,217,217,217,217,217,31,217,217,217,217,217,217,31,217,217,217,7,217,217,31,217,217,217,217,217,217,31,217,217,217,217,217,217,217,31,217,217,217,217,217,217,217,217,31,217,217,217,217,217,217,217,217,31,7,217,217,217,217,217,217,217,31,217,31,217,217,217,217,217,217,31,217,217,217,217,217,217,217,217,217,217,31,217,217,217,217,217,7,31,217,217,217,217,217,217,217,217,217,217,217,31,217,217,217,217,7,217,217,217,31,217,217,217,217,31,217,217,217,217,217,217,217,217,31,217,217,217,217,217,31,217,7,217,217,217,217,31,217,217,217,217,217,217,31,217,217,217,217,217,217,31,217,217,217,217,217,217,217
10100100,1,105,105,105,105,105,105,105,105,105,105,105,105,105,15,105,105,105,105,15,105,105,7,105,105,105,105,105,105,15,105,105,105,105,105,105,105,105,15,105,15,105,105,105,7,105,105,105,105,105,105,105,105,15,105,105,105,105,7,15,105,105,105,105,105,105,105,15,105,105,105,105,105,105,105,105,105,15,7,105,15,105,105,105,105,105,105,105,7,105,105,105,105,105,15,105,105,105,7,105,105,15,105,105,105,105,105,15,105,105,105,105,105,105,105,105,7,105,15,105,15,105,105,105,105,105,105,105,105,105,105,105,105,105,105,15,105,15,105,7,105,105,105,105,105,105,105,105,15,105,105,105,105,105,15,105,105,7,105,105,105,15,105,105,105,105,105,7,105,105,105,105,105,105,105,15,105,7,15,105,105,105,105,105,105,105,105,105,15,105,105,105,105,105,105,105,15,7,105,105,105,105,15,105,105,105,105,105,105,105,105,7,105,105,105,15,105,15,105,105,105,105,105,105,105,105,15,105,105,105,105,105,105,7,105,105,15,105,105,105,105,15,105,105,105,105,105,105,105,105,105,105,105,105,105,1
10100101,1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,3,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,3,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,3,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
10100110,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
10100111,1,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,2,126,63,63,126,126,63,63,126,126,63,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,63,126,126,63,63,126,126,63,63,126,2,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,63,63,126,126,1
10101000,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,2,14,14,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1
10101001,1,217,217,217,217,217,217,217,217,217,217,217,217,217,31,217,217,217,31,217,217,217,217,217,217,217,217,217,31,217,217,217,217,217,217,217,217,31,217,217,217,217,217,31,217,217,217,217,217,217,217,217,217,217,217,31,217,31,7,217,217,217,217,217,217,217,217,217,31,217,217,217,217,217,31,217,217,217,7,217,217,217,217,217,217,217,31,217,31,217,217,217,217,217,217,217,217,31,217,217,217,217,217,217,217,217,217,217,217,217,217,31,217,217,217,31,7,217,217,217,217,217,217,217,217,31,217,217,217,217,217,217,217,217,217,31,217,31,217,217,217,217,217,217,217,217,217,217,217,31,217,217,217,217,217,31,217,7,217,217,217,217,31,217,217,217,217,7,217,217,217,217,31,217,217,217,31,217,217,217,217,217,217,217,217,217,217,217,217,217,31,217,217,217,217,31,217,217,217,217,217,217,217,217,217,31,217,217,217,31,217,7,217,217,217,217,217,217,217,217,217,217,217,31,217,217,217,217,217,217,31,217,31,7,217,217,217,217,217,217,217,217,217,217,31,217,217,217,217,217,31,217,217,217,217,217
10101010,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,10
10101011,1,93,93,93,93,93,31,93,93,93,93,31,93,31,93,93,31,93,93,93,93,93,31,93,93,93,93,31,93,31,93,93,31,93,93,93,3,93,31,93,93,93,93,31,93,31,93,93,31,93,93,93,93,93,31,93,93,93,93,31,93,31,93,93,93,31,93,93,93,93,93,31,93,3,31,93,31,93,93,93,93,31,93,93,93,93,93,31,93,93,31,93,31,93,93,93,93,31,93,93,93,93,93,31,93,93,31,93,31,3,93,93,93,31,93,93,93,93,93,31,93,93,31,93,31,93,93,93,93,93,93,31,93,31,93,93,31,93,93,93,93,93,31,93,93,93,3,31,93,31,93,93,31,93,93,93,93,93,31,93,93,93,93,31,93,31,93,93,31,93,93,93,93,93,31,93,93,93,93,31,93,31,3,93,31,93,93,93,93,93,31,93,93,93,31,93,31,93,93,93,93,31,93,93,93,93,93,31,93,93,31,93,31,93,93,93,93,31,93,3,93,93,93,31,93,93,31,93,31,93,93,93,93,31,93,93,93,93,93,31,93,93,31,93,31,93,93,93,93,31,93,93,93,93,93,1
10101100,1,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,3,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,3,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,3,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
10101101,1,124,124,62,31,124,124,62,31,124,124,62,31,124,124,62,124,31,62,124,124,31,62,124,124,31,62,124,124,31,62,124,62,124,124,31,62,124,124,31,62,124,124,31,62,124,124,31,124,62,31,4,124,62,31,124,124,62,31,124,124,62,31,124,62,124,124,31,62,124,124,31,62,124,124,31,62,124,124,31,124,62,31,124,124,2,31,124,124,62,31,124,124,62,31,124,31,124,124,62,31,124,4,62,31,124,124,62,31,124,124,62,124,31,62,124,124,31,62,124,124,31,62,124,124,31,62,124,124,62,31,124,124,62,31,124,124,62,31,124,124,62,31,124,62,124,124,31,62,124,124,31,62,4,124,31,62,124,124,31,124,31,62,124,124,31,62,124,124,31,2,124,124,31,62,124,31,124,124,62,31,124,124,62,31,124,124,62,31,124,124,62,124,31,62,124,124,31,62,124,124,31,62,124,4,31,62,124,31,124,124,62,31,124,124,62,31,124,124,62,31,124,124,62,124,62,31,124,124,62,31,124,124,62,31,124,124,62,31,124,62,124,124,31,62,124,124,31,62,124,124,31,62,124,124,1
10101110,1,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,1
10101111,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
10110000,1,93,93,93,93,93,31,93,93,93,31,93,31,93,93,93,93,93,93,31,93,31,93,93,93,31,93,93,93,93,93,31,93,31,93,93,3,93,93,31,93,93,93,31,93,31,93,93,93,93,31,93,31,93,93,93,31,93,93,93,93,93,31,93,93,93,31,93,31,93,93,93,31,3,93,93,93,93,31,93,93,31,93,93,93,93,93,31,93,93,93,31,93,31,93,93,93,93,93,31,93,31,93,93,93,31,93,93,93,3,93,31,31,93,93,93,93,93,31,93,93,93,31,93,31,93,93,93,93,93,93,31,93,31,93,93,93,31,93,93,93,93,93,31,31,93,3,93,93,93,31,93,93,93,31,93,31,93,93,93,93,93,31,93,31,93,93,93,31,93,93,93,93,93,31,93,93,31,93,93,93,93,3,31,93,93,93,31,93,31,93,93,93,31,93,93,93,93,93,31,93,93,93,31,93,31,93,93,93,93,31,93,31,93,93,93,31,93,93,3,93,93,31,93,31,93,93,93,93,93,31,93,93,93,31,93,31,93,93,93,93,93,93,31,93,31,93,93,93,31,93,93,93,93,93,1
10110001,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
10110010,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
