 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
1110011,1,15,15,15,5,15,15,15,5,15,15,15,5,15,15,15,5,15,3,15,5,15,15,15,5,15,15,15,5,15,15,15,15,5,15,15,3,5,15,15,15,5,15,15,15,5,15,15,15,5,15,15,15,5,3,15,15,5,15,15,15,5,15,15,15,15,5,15,15,15,5,15,15,3,5,15,15,15,5,15,15,15,5,15,15,15,5,15,15,15,5,3,15,15,5,15,15,15,15,5,15,15,15,5,15,15,15,5,15,3,15,5,15,15,15,5,15,15,15,5,15,15,15,5,15,15,15,1
1110100,1,42,42,42,21,42,42,42,21,42,6,42,21,42,42,42,42,21,42,42,6,21,42,42,42,21,42,42,42,7,6,42,42,42,6,21,42,42,42,7,6,42,42,21,42,42,42,21,42,42,21,42,42,42,3,42,42,42,7,42,6,42,21,42,42,42,21,42,42,6,21,42,42,42,21,42,42,42,7,6,42,6,42,7,42,42,42,21,42,42,42,3,42,42,42,21,42,21,42,42,42,21,42,6,42,7,42,42,42,3,42,42,21,42,42,6,7,42,42,42,21,6,42,42,21,42,42,42
1110101,1,62,31,62,62,31,62,31,62,31,62,31,31,62,31,62,31,62,31,62,62,31,62,31,62,31,62,31,31,62,31,62,31,62,31,62,62,31,62,31,62,31,2,31,31,62,31,62,31,62,31,62,62,31,62,31,62,31,62,31,31,62,31,62,62,31,62,31,31,62,31,62,31,62,31,62,62,31,62,31,62,31,62,31,31,2,31,62,31,62,31,62,62,31,62,31,62,31,62,31,31,62,31,62,31,62,31,62,62,31,62,31,62,31,62,31,31,62,31,62,31,62,31,62,62,31,62,1
1110110,1,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,1
1110111,1,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
1111000,1,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
1111001,1,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,7,14,14,14,14,7,14,14,14,14,7,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,7,14,14,14,14,7,14,14,14,14,7,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,1
1111010,1,42,21,42,14,21,42,21,21,14,21,42,42,7,6,21,21,42,3,14,42,21,42,7,21,42,7,42,6,21,14,21,42,21,42,7,3,42,21,14,42,21,2,21,21,42,7,42,14,21,42,21,7,42,3,42,6,7,42,21,21,14,21,42,42,21,14,21,21,42,7,6,42,3,42,7,21,42,21,14,42,7,42,21,21,2,21,42,14,21,42,3,7,42,21,42,21,14,21,6,42,7,42,21,7,42,21,42,14,3,42,21,21,6,7,42,42,21,14,21,21,42,21,14,42,21,42,1
1111011,1,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
1111100,1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,1
1111101,1,93,93,93,31,93,93,93,93,31,93,93,93,31,93,93,93,93,31,93,93,93,31,93,93,93,93,31,93,93,93,31,93,31,93,93,93,31,93,93,31,93,93,93,31,93,93,93,93,93,93,31,93,93,3,31,93,93,31,93,93,93,31,93,93,93,31,93,93,93,31,93,93,93,93,31,93,93,93,31,31,93,93,93,31,93,93,93,93,31,93,3,93,31,93,93,93,93,93,31,93,93,93,31,93,93,31,93,93,3,31,93,93,31,93,93,93,31,93,93,31,93,93,93,31,93,93,93
1111110,1,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
1111111,1,8,8,8,8,8,8,8,4,8,8,8,8,8,8,8,8,4,8,8,8,8,8,8,8,4,8,8,8,8,8,8,8,8,4,8,8,8,8,8,8,8,2,8,8,8,8,8,8,8,8,4,8,8,8,8,8,8,8,4,8,8,8,8,8,8,8,8,4,8,8,8,8,8,8,8,4,8,8,8,8,8,8,8,8,2,8,8,8,8,8,8,8,4,8,8,8,8,8,8,8,8,4,8,8,8,8,8,8,8,4,8,8,8,8,8,8,8,8,4,8,8,8,8,8,8,8,1
